coord,day,delay,description,end_date,from,geometry,hour,id,latitude,length,longitude,to
"{'x': -73.9665907, 'y': 40.7701863}",Monday,3,9,2020-02-17 17:10:00+00:00,Park Ave,POINT (-73.9665907 40.7701863),17.0,TTL5159643201606006,40.7701863,153,-73.9665907,5th Ave
"{'x': -73.9658741, 'y': 40.7837143}",Monday,3,9,2020-02-17 17:12:00+00:00,E 96th St/97th St (5th Ave),POINT (-73.96587409999999 40.7837143),17.0,TTL5159066128805003,40.7837143,571,-73.9658741,79th St (5th Ave)
"{'x': -73.949249, 'y': 40.7914004}",Monday,2,3,2020-02-17 17:10:00+00:00,Park Ave (E 97th St),POINT (-73.94924899999999 40.7914004),17.0,TTL5159066164806006,40.79140039999999,141,-73.949249,5th Ave (97th St)
"{'x': -73.9463578, 'y': 40.7809667}",Monday,1,2,2020-02-17 17:10:00+00:00,1st Ave / E 86th St,POINT (-73.9463578 40.7809667),17.0,TTL5159643230406004,40.7809667,446,-73.9463578,3rd Ave / E 86th St
"{'x': -73.9447057, 'y': 40.7944087}",Monday,2,3,2020-02-17 17:10:00+00:00,Lexington Ave,POINT (-73.9447057 40.7944087),17.0,TTL5158489099206003,40.79440870000001,171,-73.9447057,Park Ave
"{'x': -73.9339295, 'y': 40.7838103}",Monday,1,2,2020-02-17 17:10:00+00:00,96th St/Exit 14 (FDR Dr),POINT (-73.9339295 40.7838103),17.0,TTL5158489132001001,40.78381029999999,2043,-73.9339295,I-278/Triborough Bridge/Exit 17 (FDR Dr)
"{'x': -73.9222362, 'y': 40.7745068}",Monday,2,3,2020-02-17 17:10:00+00:00,Robert F Kennedy Brg W / Crescent St,POINT (-73.9222362 40.7745068),17.0,TTL5160797390406000,40.7745068,350,-73.92223620000001,Astoria Blvd / 14th St
"{'x': -73.960896, 'y': 40.6935837}",Monday,3,9,2020-02-17 17:34:00+00:00,I-278/Williamsburg St/Classon Ave (Flushing Ave),POINT (-73.96089600000001 40.6935837),17.0,TTL5164836803204006,40.69358370000001,731,-73.96089599999998,Lee Ave/Nostrand Ave (Flushing Ave)
"{'x': -73.9660359, 'y': 40.6985171}",Monday,2,3,2020-02-17 17:12:00+00:00,Williamsburg St W,POINT (-73.96603589999999 40.6985171),17.0,TTL5165413904806003,40.6985171,408,-73.96603590000002,Flushing Ave
"{'x': -73.9668738, 'y': 40.7033065}",Monday,1,2,2020-02-17 17:27:00+00:00,Williamsburg Bridge/Exit 32 (I-278),POINT (-73.9668738 40.7033065),17.0,TTL5164836722408000,40.7033065,4405,-73.9668738,Atlantic Ave/Exit 27 (I-278)
"{'x': -73.9630121, 'y': 40.7011961}",Monday,2,3,2020-02-17 17:17:00+00:00,I-278/Williamsburg St (Lee Ave),POINT (-73.9630121 40.7011961),17.0,TTL5164836836805003,40.7011961,674,-73.96301209999999,Flushing Ave (Lee Ave)
"{'x': -73.9486531, 'y': 40.6976851}",Monday,2,3,2020-02-17 17:10:00+00:00,Park Ave,POINT (-73.9486531 40.6976851),17.0,TTL5165991013606004,40.6976851,249,-73.9486531,Flushing Ave
"{'x': -73.9491446, 'y': 40.6990094}",Monday,2,3,2020-02-17 17:17:00+00:00,Rodney St (Broadway),POINT (-73.9491446 40.6990094),17.0,TTL5165413930404002,40.6990094,455,-73.9491446,Myrtle Ave (Broadway)
"{'x': -73.9406455, 'y': 40.6999389}",Monday,3,9,2020-02-17 17:10:00+00:00,Graham Ave,POINT (-73.9406455 40.6999389),17.0,TTL5165991020806001,40.6999389,180,-73.9406455,Bushwick Ave
"{'x': -73.9741818, 'y': 40.768408}",Tuesday,1,2,2020-02-18 03:11:00+00:00,6th Ave/Avenue of the Americas (W 57th St),POINT (-73.9741818 40.768408),3.0,TTL5159066107212002,40.768408,273,-73.9741818,Broadway (W 57th St)
"{'x': -74.014152, 'y': 40.7486904}",Tuesday,1,2,2020-02-18 03:11:00+00:00,12th Ave,POINT (-74.014152 40.7486904),3.0,TTL5159066040007000,40.7486904,393,-74.014152,11th Ave / W 17th St
"{'x': -74.0049938, 'y': 40.7516863}",Wednesday,0,13,2020-09-23 03:59:59+00:00,NY-9A (W 34th St),POINT (-74.00499379999999 40.7516863),3.0,TTR5158488969601002,40.751686299999996,35,-74.0049938,10th Ave (W 34th St)
"{'x': -74.0033921, 'y': 40.7593736}",Tuesday,3,9,2020-02-18 03:11:00+00:00,12th Ave,POINT (-74.0033921 40.7593736),3.0,TTL5157911875206000,40.7593736,232,-74.0033921,11th Ave
"{'x': -73.9967165, 'y': 40.7564209}",Saturday,0,4,2020-04-04 04:43:59+00:00,8th Ave (W 31st St),POINT (-73.99671650000001 40.7564209),4.0,TTR5158488955206002,40.756420899999995,9,-73.9967165,NY-495/Lincoln Tunnel Expy/Dyer Ave (W 31st St)
"{'x': -73.995397, 'y': 40.7592318}",Sunday,0,4,2020-03-01 05:43:59+00:00,Dyer Ave,POINT (-73.995397 40.7592318),5.0,TTR5158488984006001,40.759231799999995,153,-73.995397,W 34th St / 11th Ave
"{'x': -73.9892001, 'y': 40.7548544}",Monday,0,4,2020-03-09 04:43:59+00:00,Manhattan,POINT (-73.98920010000001 40.7548544),4.0,TTR5159643144007024,40.7548544,175,-73.98920009999998,8th Ave
"{'x': -73.9653881, 'y': 40.7696794}",Tuesday,2,3,2020-02-18 03:11:00+00:00,Park Ave,POINT (-73.9653881 40.7696794),3.0,TTL5159643201606002,40.7696794,267,-73.9653881,5th Ave
"{'x': -73.9916636, 'y': 40.7650827}",Tuesday,3,9,2020-02-18 19:24:30+00:00,10th Ave (W 57th St),POINT (-73.9916636 40.7650827),19.0,TTL5158488998404001,40.76508270000001,274,-73.9916636,9th Ave (W 57th St)
"{'x': -73.9834044, 'y': 40.7706046}",Tuesday,3,9,2020-02-18 19:24:30+00:00,8th Ave,POINT (-73.9834044 40.7706046),19.0,TTL5158489012814002,40.77060460000001,300,-73.98340440000003,10th Ave
"{'x': -73.9819468, 'y': 40.7831994}",Tuesday,4,5,2020-02-18 23:45:00+00:00,W End Ave,POINT (-73.9819468 40.7831994),23.0,TTR5157334852807000,40.7831994,180,-73.9819468,Manhattan
"{'x': -73.9863363, 'y': 40.7619396}",Tuesday,1,2,2020-02-18 19:24:30+00:00,8th Ave,POINT (-73.9863363 40.7619396),19.0,TTL5159066092814004,40.7619396,274,-73.9863363,7th Ave
"{'x': -74.0060855, 'y': 40.7359026}",Saturday,0,13,2020-02-22 04:59:59+00:00,9th Ave/Hudson St (W 14th St),POINT (-74.0060855 40.7359026),4.0,TTR5159643100806002,40.7359026,52,-74.0060855,8th Ave (W 14th St)
"{'x': -73.9931385, 'y': 40.7429512}",Saturday,0,13,2020-02-22 04:59:59+00:00,W 23rd St (8th Ave),POINT (-73.9931385 40.7429512),4.0,TTR5159643093604002,40.74295120000001,84,-73.9931385,30th St (8th Ave)
"{'x': -74.0009489, 'y': 40.7409763}",Tuesday,1,2,2020-02-18 19:24:30+00:00,8th Ave (W 23rd St),POINT (-74.0009489 40.7409763),19.0,TTL5159643100804007,40.7409763,497,-74.00094890000003,6th Ave/Avenue of the Americas (W 23rd St)
"{'x': -73.994719, 'y': 40.7624547}",Tuesday,1,2,2020-02-18 19:36:30+00:00,10th Ave/40th St (NY-495),POINT (-73.994719 40.7624547),19.0,TTL5158488984008004,40.7624547,454,-73.99471899999998,Toll Plaza (NJ-495)
"{'x': -73.9982689, 'y': 40.7455656}",Tuesday,1,2,2020-02-18 19:28:30+00:00,8th Ave (W 30th St),POINT (-73.9982689 40.7455656),19.0,TTL5159643129614000,40.7455656,854,-73.9982689,5th Ave (30th St)
"{'x': -73.9971345, 'y': 40.738489}",Tuesday,1,2,2020-02-18 19:25:30+00:00,7th Ave,POINT (-73.9971345 40.738489),19.0,TTL5160220195206014,40.738489,465,-73.9971345,Broadway
